taxon_id	name	full_name	family	n_proteins	n_interactions
10366	MuBHV1	Murid betaherpesvirus 1	Orthoherpesviridae	14	72
37959	HPV38	Human papillomavirus 38	Papillomaviridae	4	70
11049	PRRSV-1	Lelystad virus	Arteriviridae	2	68
10607	HPV17	Human papillomavirus 17	Papillomaviridae	2	65
11041	RuV	Rubella virus	Matonaviridae	10	64
10593	HPV45	Human papillomavirus 45	Papillomaviridae	3	63
154334	CeHV-17	Macacine gammaherpesvirus 5	Orthoherpesviridae	3	62
11709	HIV-2	Human immunodeficiency virus 2	Retroviridae	23	61
694008	Pi-BatCoV_HKU5	Pipistrellus bat coronavirus HKU5	Coronaviridae	21	60
211787	HPV92	Human papillomavirus 92	Papillomaviridae	2	60
57278	HuBHV7	Human herpesvirus 7 strain JI	Orthoherpesviridae	3	58
129875	HAdV-A	Human mastadenovirus A	Adenoviridae	8	57
32603	HuBHV6A	Human betaherpesvirus 6A	Orthoherpesviridae	15	56
10243	CPXV	Cowpox virus	Poxviridae	12	56
28292	SFS	Sandfly fever Sicilian virus	Phenuiviridae	2	55
693997	TGEV	Alphacoronavirus 1	Coronaviridae	26	51
10618	HPV52	Human papillomavirus 52	Papillomaviridae	2	47
333751	HPV2	Human papillomavirus type 2	Papillomaviridae	2	46
3422298	MRV3	Orthoreovirus mammalis	Spinareoviridae	6	44
10258	ORFV	Orf virus	Poxviridae	17	43
694005	MHV	Murine coronavirus	Coronaviridae	16	40
172148	AHFV	Alkhumra hemorrhagic fever virus	Flaviviridae	2	40
2560602	MuV	Mumps orthorubulavirus	Paramyxoviridae	11	39
487099	UUKV	Uukuniemi virus S23	Phenuiviridae	2	39
333753	HPV57	Human papillomavirus 57	Papillomaviridae	2	38
10310	HSV-2	Human alphaherpesvirus 2	Orthoherpesviridae	17	37
11597	HAZV	Hazara virus (isolate JC280)	Nairoviridae	1	37
10345	PRV	Suid alphaherpesvirus 1	Orthoherpesviridae	8	36
108098	HAdV-B	Human mastadenovirus B	Adenoviridae	19	35
1891730	MPyV	Alphapolyomavirus muris	Polyomaviridae	6	35
3052676	RVFV	Phlebovirus riftense	Phenuiviridae	2	35
10623	CRPV	Kappapapillomavirus 2	Papillomaviridae	8	34
417296	BIV	Bovine immunodeficiency virus R29	Retroviridae	5	34
10390	GaHV-2	Gallid alphaherpesvirus 2	Orthoherpesviridae	2	33
28295	PEDV	Porcine epidemic diarrhea virus	Coronaviridae	7	31
1213422	RHEV	Ferret hepatitis E virus	Hepeviridae	1	30
11034	SINV	Sindbis virus	Togaviridae	5	29
10273	MYXV	Myxoma virus	Poxviridae	10	28
10609	HPV25	Human papillomavirus 25	Papillomaviridae	2	27
69985	HPV-76	Human papillomavirus 76	Papillomaviridae	2	26
10244	MPXV	Monkeypox virus	Poxviridae	5	25
10587	HPV35	Human papillomavirus 35	Papillomaviridae	1	25
2560525	HPIV-2	Human orthorubulavirus 2	Paramyxoviridae	3	24
130309	HAdV-F	Human mastadenovirus F	Adenoviridae	11	24
3052320	MOPV	Mammarenavirus mopeiaense	Arenaviridae	3	24
72149	AiV-A1	Kobuvirus aichi	Picornaviridae	6	24
12124	TMEV	Theiler's encephalomyelitis virus	Picornaviridae	2	22
10381	SaGHV2	Saimiriine gammaherpesvirus 2	Orthoherpesviridae	10	22
10280	McVI	Molluscum contagiosum virus subtype 1	Poxviridae	5	21
694006	Ro-BatCoV_HKU9	Rousettus bat coronavirus HKU9	Coronaviridae	11	21
11983	NV	Norwalk virus	Caliciviridae	14	20
10255	VARV	Variola virus	Poxviridae	10	19
40051	BTV	Bluetongue virus	Sedoreoviridae	10	19
2560580	SV-5	Mammalian orthorubulavirus 5	Paramyxoviridae	4	18
2560319	NDV	Avian paramyxovirus 1	Paramyxoviridae	7	17
11602	HTNV	Hantaan virus 76-118	Hantaviridae	3	17
10611	HPV30	Human papillomavirus 30	Papillomaviridae	1	16
11665	EIAV	Equine infectious anemia virus	Retroviridae	11	16
11276	VSV	Vesicular stomatitis virus	Rhabdoviridae	2	16
28327	Murine rotavirus	Murine rotavirus	Sedoreoviridae	1	16
11285	VSIV	Vesicular stomatitis Indiana virus strain San Juan	Rhabdoviridae	4	16
37115	HPV59	Human papillomavirus 59	Papillomaviridae	1	16
10320	BoHV-1	Bovine alphaherpesvirus 1	Orthoherpesviridae	7	16
32604	HuBHV6B	Human betaherpesvirus 6B	Orthoherpesviridae	12	15
12643	ECTV	Ectromelia virus	Poxviridae	10	15
1398177	CMTV-NL	Andrias davidianus ranavirus	Iridoviridae	8	14
10595	HPV51	Human papillomavirus 51	Papillomaviridae	3	14
129724	HPV82	Human papillomavirus 82	Papillomaviridae	1	14
299386	EAV	Equine arteritis virus Bucyrus	Arteriviridae	3	13
516993	AHEV	Avian hepatitis E virus chicken/United States/Meng	Hepeviridae	1	13
587347	HPV98	Human papillomavirus 98	Papillomaviridae	2	12
11216	HPIV-3	Human respirovirus 3	Paramyxoviridae	5	11
11642	Simian foamy virus	Simian foamy virus	Retroviridae	6	11
11552	FLUCV	Influenza C virus	Orthomyxoviridae	6	11
10326	EHV-1	Equid alphaherpesvirus 1	Orthoherpesviridae	6	11
186540	SEBOV	Sudan ebolavirus	Filoviridae	4	11
10596	HPV56	Human papillomavirus 56	Papillomaviridae	1	11
3241303	SVV	Senecavirus valles	Picornaviridae	4	10
10995	IBDV	Infectious bursal disease virus	Birnaviridae	4	10
39457	HPV70	Human papillomavirus type 70	Papillomaviridae	1	10
342409	WSSV	Whispovirus xiabaidian	Nimaviridae	6	10
2169971	VMV	Visna-maedi virus	Retroviridae	5	10
10566	Human papillomavirus	Human papillomavirus	Papillomaviridae	1	10
12538	MOKV	Lyssavirus mokola	Rhabdoviridae	2	9
162145	HMPV	Human metapneumovirus	Pneumoviridae	4	9
37114	HPV55	Human papillomavirus type 55	Papillomaviridae	1	9
10571	Bovine papillomavirus	Bovine papillomavirus	Papillomaviridae	1	9
11273	CHPV	Chandipura virus I653514	Rhabdoviridae	1	9
10598	HPV58	Human papillomavirus 58	Papillomaviridae	2	9
11886	RSV	Rous sarcoma virus	Retroviridae	4	8
3052625	CSFV	Orthopestivirus suis	Pestiviridae	5	8
3052518	CCHFV	Orthonairovirus haemorrhagiae	Nairoviridae	4	8
11673	FIV	Feline immunodeficiency virus	Retroviridae	7	8
12618	CAV	Chicken anemia virus	Anelloviridae	4	8
126796	THOV	Thogoto virus (isolate SiAr 126)	Orthomyxoviridae	3	8
11768	FeLV	Feline leukemia virus	Retroviridae	3	8
11901	BLV	Bovine leukemia virus	Retroviridae	2	8
10616	HPV49	Human papillomavirus 49	Papillomaviridae	2	8
31704	CV-A16	Coxsackievirus A16	Picornaviridae	3	8
3052561	SV-41	Orthorubulavirus simiae	Paramyxoviridae	1	8
10510	BAd3	Bovine adenovirus 3	Adenoviridae	4	7
1891762	BKV	Betapolyomavirus hominis	Polyomaviridae	3	7
928301	FPV	Fowlpox virus strain NVSL	Poxviridae	2	7
1298633	AiV-C1	Kobuvirus cebes	Picornaviridae	2	7
663565	Bat SARS Cov Rs806/2006	Bat SARS Cov Rs806/2006	Coronaviridae	1	7
11085	LGT	Langat virus	Flaviviridae	4	7
1330524	SaV-A1	Salivirus A	Picornaviridae	2	7
12557	SEOV	Seoul virus 80-39	Hantaviridae	1	7
82831	EqGHV2	Equid herpesvirus type 2 strain 86/87	Orthoherpesviridae	2	7
90961	ABLV	Lyssavirus australis	Rhabdoviridae	2	7
37119	HPV66	Human papillomavirus 66	Papillomaviridae	1	7
54315	BVDV-2	Bovine viral diarrhea virus 2	Pestiviridae	1	7
394239	KoRV	Koala retrovirus	Retroviridae	2	6
44088	CNPV	Canarypox virus	Poxviridae	3	6
176652	IIV-6	Invertebrate iridescent virus 6	Iridoviridae	5	6
406769	PTLV3	Human T-cell leukemia virus 3 (strain Pyl43)	Retroviridae	2	6
44028	HPV74	Human papillomavirus 74	Papillomaviridae	2	6
10615	HPV40	Human papillomavirus 40	Papillomaviridae	1	6
