taxon_id	name	full_name	family	n_proteins	n_interactions
332091	B-lymphotropic polyomavirus	B-lymphotropic polyomavirus	Polyomaviridae	1	1
29272	TVCV	Turnip vein-clearing virus	Virgaviridae	1	1
1289473	NCPV	Nile crocodilepox virus Zimbabwe/Ume/2001	Poxviridae	1	1
64286	USUV	Usutu virus	Flaviviridae	1	1
36348	CeAHV9	Cercopithecine herpesvirus 9 (strain DHV)	Orthoherpesviridae	1	1
292348	Canine calicivirus (strain 48)	Canine calicivirus (strain 48)	Caliciviridae	1	1
10589	HPV41	Human papillomavirus type 41	Papillomaviridae	1	1
400122	FiCV	Finch circovirus	Circoviridae	1	1
333759	HPV10	Human papillomavirus 10	Papillomaviridae	1	1
37956	HPV24	Human papillomavirus 24	Papillomaviridae	1	1
35254	CrleGV	Cryptophlebia leucotreta granulovirus	Baculoviridae	1	1
915427	HPV112	Human papillomavirus 112	Papillomaviridae	1	1
1737344	SARS-like coronavirus BatCoV/BB9904/BGR/2008	SARS-like coronavirus BatCoV/BB9904/BGR/2008	Coronaviridae	1	1
10703	Corynephage beta	Corynephage beta	Zimmerviridae	1	1
909330	HPV131	Human papillomavirus 131	Papillomaviridae	1	1
766194	DUGV	Dugbe virus (isolate ArD44313)	Nairoviridae	1	1
138948	CVA2	Enterovirus A	Picornaviridae	1	1
1318464	SBV	Bovine Schmallenberg virus BH80/Germany/2011	Peribunyaviridae	1	1
2010960	BOMV	Bombali virus	Filoviridae	1	1
354090	UR2SV	UR2 sarcoma virus	Retroviridae	1	1
244589	SSV1	Sulfolobus spindle-shaped virus 1	Fuselloviridae	1	1
766178	CCV	Ictalurid herpesvirus 1 (strain Auburn)	Alloherpesviridae	1	1
1169032	WMoV	Wasabi mottle virus	Virgaviridae	1	1
2847089	GhV	Ghana virus	Paramyxoviridae	1	1
10561	BPV-3	Xipapillomavirus 1	Papillomaviridae	1	1
10430	WHV	Woodchuck hepatitis virus 1	Hepadnaviridae	1	1
47929	CeHV-8	Macacine betaherpesvirus 3	Orthoherpesviridae	1	1
329639	CnMV	Canine minute virus	Parvoviridae	1	1
654902	ElBHV1	Elephantid herpesvirus 1 (isolate Kiba)	Orthoherpesviridae	1	1
1330520	EV-F1	Enterovirus F	Picornaviridae	1	1
248496	SSV9	Sulfolobus virus Kamchatka 1	Fuselloviridae	1	1
12065	EV-E1	Bovine enterovirus strain VG-5-27	Picornaviridae	1	1
79700	MuBHV2	Rat cytomegalovirus strain Maastricht	Orthoherpesviridae	1	1
10325	CeHV-1	Macacine alphaherpesvirus 1	Orthoherpesviridae	1	1
654916	PsPV1	Phocoena spinipinnis papillomavirus (isolate Peru)	Papillomaviridae	1	1
248062	ERVEV	Erve virus	Nairoviridae	1	1
647332	HPBV	Human picobirnavirus strain Hy005102	Picobirnaviridae	1	1
654904	RoMNPV	Rachiplusia ou MNPV (strain R1)	Baculoviridae	1	1
